from_year,to_year,level,from_id,to_id,change_type,source_file
2017,2021,municipality,0811,3812,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0814,3813,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0815,3814,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0817,3815,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0819,3816,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0826,3818,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0827,3819,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0828,3820,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0829,3821,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0830,3822,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0831,3823,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0833,3824,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0834,3825,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0901,4201,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0904,4202,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
